score,rms
-11.468,0.445
119.036,1.789
89.080,1.856
-6.308,0.383
100.789,1.721
-8.288,0.353
112.488,2.319
-9.374,0.491
-2.090,0.599
-10.780,0.414
-5.460,0.515
-4.741,0.492
-10.020,0.547
141.934,2.035
-1.749,0.267
-5.982,0.680
-1.752,0.618
-7.416,0.296
102.785,2.505
-1.700,0.368
