score,rms
54.960,5.399
4.604,5.374
49.849,5.412
42.664,5.366
55.295,5.472
99.104,5.512
47.926,5.353
42.664,5.366
47.449,5.426
58.845,5.546
12.314,5.509
58.845,5.546
12.314,5.509
4.604,5.374
12.314,5.509
97.002,5.438
47.926,5.353
54.960,5.399
47.926,5.353
12.314,5.509
