dir,dist1,dist2
1WM1bot.pdb_1WM1cap.pdb,24.4993422565,11.3219004588
1WM1bot.pdb_1WM1cap.pdb,26.8791732202,11.3454126412
1WM1bot.pdb_1WM1cap.pdb,25.2197196852,8.0056538771
1WM1bot.pdb_1WM1cap.pdb,27.7650036917,10.556137788
1WM1bot.pdb_1WM1cap.pdb,27.1899047074,10.7365699364
1WM1bot.pdb_1WM1cap.pdb,18.7803622968,5.22820896675
1WM1bot.pdb_1WM1cap.pdb,27.4924340319,7.55291400719
1WM1bot.pdb_1WM1cap.pdb,24.7112043616,9.64703120136
1WM1bot.pdb_1WM1cap.pdb,12.0527528391,10.1199611165
1WM1bot.pdb_1WM1cap.pdb,15.1910393654,6.74549108664
1WM1bot.pdb_1WM1cap.pdb,15.2239146411,6.09944087601
1WM1bot.pdb_1WM1cap.pdb,23.4005688179,11.187952002
1WM1bot.pdb_1WM1cap.pdb,17.4213515836,6.22416010398
1WM1bot.pdb_1WM1cap.pdb,18.8554671382,7.221072635
1WM1bot.pdb_1WM1cap.pdb,20.7391873033,10.5032035589
1WM1bot.pdb_1WM1cap.pdb,12.4972719423,7.91775763711
1WM1bot.pdb_1WM1cap.pdb,24.4247342258,11.1290389971
1WM1bot.pdb_1WM1cap.pdb,15.1730252751,10.1363666074
1WM1bot.pdb_1WM1cap.pdb,13.3109029746,4.68278592293
1WM1bot.pdb_1WM1cap.pdb,28.4625026834,11.2598112329
1WM1bot.pdb_1WM1cap.pdb,17.0688009245,10.7767834719
1WM1bot.pdb_1WM1cap.pdb,25.2686257838,5.6725681133
1WM1bot.pdb_1WM1cap.pdb,15.975826301,4.88407903294
1WM1bot.pdb_1WM1cap.pdb,20.2673427464,10.6100877942
1WM1bot.pdb_1WM1cap.pdb,16.7565697265,11.1428812252
1WM1bot.pdb_1WM1cap.pdb,15.8878465501,5.63300008876
1WM1bot.pdb_1WM1cap.pdb,26.3202202878,10.7564210591
1WM1bot.pdb_1WM1cap.pdb,25.2070720434,9.39676002673
1WM1bot.pdb_1WM1cap.pdb,15.6080037801,10.4684991283
1WM1bot.pdb_1WM1cap.pdb,15.0389535873,5.30156835286
1WM1bot.pdb_1WM1cap.pdb,18.1994662834,9.78985571906
1WM1bot.pdb_1WM1cap.pdb,15.1640201134,9.66219317753
1WM1bot.pdb_1WM1cap.pdb,15.4610401332,9.40449578659
1WM1bot.pdb_1WM1cap.pdb,31.7483927625,11.1193359964
