rmsd, with cst, default, filename 
723.357666016, 14042767.2272, 7.68613, 14/manual_115.pdb
2362.17749023, 147465791.609, 7.68613, 14/manual_259.pdb
64.6645126343, 145067.947197, 7.68613, 14/manual_132.pdb
125.519615173, 396053.283127, 7.68613, 14/manual_131.pdb
953.619812012, 24690739.3762, 7.68613, 14/manual_129.pdb
1112.52075195, 32491835.5931, 7.68613, 14/manual_186.pdb
13.492389679, 2224.49775564, -2.64756820838, 14/manual_67.pdb
1010.05206299, 27017468.2744, 7.68613, 14/manual_216.pdb
583.672241211, 8959443.94803, 7.68613, 14/manual_178.pdb
87.223739624, 173012.906481, 7.68613, 14/manual_248.pdb
17.9839878082, 8660.83735529, -9.90557432767, 14/manual_130.pdb
434.627838135, 5183384.07303, 7.68613, 14/manual_249.pdb
10.2387495041, 68.7501819856, -7.05977876167, 14/manual_6.pdb
400.303253174, 4332464.14953, 7.68613, 14/manual_240.pdb
128.353210449, 486264.029217, 7.68613, 14/manual_183.pdb
11.3938512802, 297.415865434, -17.650614, 14/manual_46.pdb
490.619445801, 6447736.68565, 7.68613, 14/manual_140.pdb
13.4142475128, 755.983272847, 247.589253947, 14/manual_96.pdb
21.3084316254, 21928.3669908, 7.68613, 14/manual_222.pdb
1591.71765137, 66783379.6818, 7.68613, 14/manual_209.pdb
13.7704782486, 1937.71235642, 693.886703371, 14/manual_13.pdb
385.451599121, 4069510.92155, 7.68613, 14/manual_190.pdb
9.25123786926, 1834.63038308, 11.2035474506, 14/manual_55.pdb
9.72273349762, 626.706388507, 44.1071108402, 14/manual_141.pdb
10.0694770813, 1135.53840053, 154.77462099, 14/manual_181.pdb
11.7379808426, 1400.60887689, 108.387390954, 14/manual_106.pdb
1914.75634766, 96121667.5447, 7.68613, 14/manual_239.pdb
1810.04248047, 86203105.5085, 7.68613, 14/manual_214.pdb
2245.48803711, 132803447.246, 7.68613, 14/manual_193.pdb
10.5619716644, 792.600195018, 39.0171279181, 14/manual_93.pdb
