UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_100_refined_0001_creation_1_refined_0001.pdb,1.73724
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_102_refined_0001_creation_1_refined_0001.pdb,2.86845
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_103_refined_0001_creation_1_refined_0001.pdb,3.79874
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_108_refined_0001_creation_1_refined_0001.pdb,1.81953
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_110_refined_0001_creation_1_refined_0001.pdb,3.20049
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_116_refined_0001_creation_1_refined_0001.pdb,1.54904
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_118_refined_0001_creation_1_refined_0001.pdb,3.23098
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_119_refined_0001_creation_1_refined_0001.pdb,2.03686
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_121_refined_0001_creation_1_refined_0001.pdb,2.82729
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_124_refined_0001_creation_1_refined_0001.pdb,3.33982
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_129_refined_0001_creation_1_refined_0001.pdb,2.20385
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_130_refined_0001_creation_1_refined_0001.pdb,1.8213
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_134_refined_0001_creation_1_refined_0001.pdb,2.37574
UM_4_D335H524D496Y465Y384_output_3ANS_1.pdb.massaged.pdbA_0001_creation_136_refined_0001_creation_1_refined_0001.pdb,1.59333
