rmsd, with cst, default

10.8974456787, 69.4252220131, -38.9262685176
5.45145320892, 79.8320959547, -9.45486684564
11.0486450195, 1391.88395572, 3.76126
4.97434425354, -8.16517930838, -30.2620042552
10.9610109329, 81.9930390493, -36.3162342987
7.43753528595, 458.879451985, -2.2196900501
12.1511383057, 1094.34322308, -23.5054181668
13.8858919144, 197.848865491, 86.9106584501
12.7309999466, 1668.53795889, 8.96303986292
7.69376993179, 11.6387050487, -39.8307524043
7.82831430435, 547.65048668, 38.7272272929
11.5911664963, 947.926241915, 621.164641975
8.06538295746, 760.359048392, -4.88465641569
4.09351301193, 264.542398853, 12.711325982
2.01093864441, -8.29681810409, -23.8738519232
6.79103803635, 276.309467098, -4.49413576099
14.996213913, 38.8121726126, -12.9633607226
9.77451992035, 12.9544670374, -44.9656449738
7.49193716049, 790.338279009, 229.30901819
6.48322963715, 1198.65089407, -5.68331890555
11.9084939957, 7.22738474043, -45.2903666163
12.1903171539, 393.993162719, -11.7250742338
6.8374505043, 590.940887057, 1.30507712375
7.94146633148, 190.709337519, -11.7103127006
11.9160652161, 1741.97597075, 248.209412601
12.8143863678, 1782.47956378, 0.28768
10.770321846, 399.620332639, -13.7530444444
10.80189991, 692.249756901, 7.15853187109
6.46998739243, 29.4488987025, -23.376287261
6.84111833572, 660.864950132, 101.348431646
11.2088737488, 4060.67936053, 93.8284444151
9.14587593079, 1424.30368223, -2.9261548443
8.44794368744, 83.2321987912, -27.903841606
6.73932170868, 662.222636623, -21.8929912354
6.53434038162, 229.393055888, -13.235011521
14.3111209869, 2218.14699595, -5.27852570642
11.2401838303, 327.265902121, 2.88047298648
11.058052063, 1378.66254424, 134.065145267
5.60567426682, 349.883962916, -8.02070436398
3.74664092064, 124.607870956, -18.5104071885
9.70842552185, 24.4981181173, -28.5619324826
11.4133291245, 71.5899316766, -17.2942285105
10.551981926, 69.4267940857, -20.3166698
6.19786405563, 632.931162302, 41.1810211463
9.64130210876, 109.825022844, -29.5330698283
10.233669281, 981.61873111, 58.1093503764
10.4512243271, 853.938665432, 94.1729991378
15.022892952, 709.396540278, 64.5623434392
12.8721036911, 499.411537748, 21.6625010855
5.49947214127, 449.903433817, -15.7567298758
8.93342876434, 1021.52152114, 97.0924886597
13.3981084824, 3867.40586883, 0.352614033744
4.11135911942, -1.76558075822, -12.5439364476
2.92082071304, 33.034602841, -31.4581447277
7.5780134201, 600.539682206, 63.0236474719
10.5408143997, 38.9132020365, -38.7375482815
11.2566347122, 445.286502385, -26.2617840205
9.30779743195, 128.226485722, -22.0099968262
9.53792572021, 969.397783716, 124.645002148
12.7207145691, 1756.57037088, -6.82232027468
12.1395330429, 92.4806507824, -5.23673694752
10.7716150284, 230.305476159, -19.269513
10.3377485275, 6.73068368775, -58.2754235592
17.5544624329, 672.865227052, 7.68613
7.13355731964, 1036.82815105, -20.1287235999
9.13919448853, 917.162264257, 182.3309282
13.8024787903, 1024.63404226, 881.70648016
7.28981113434, 1123.33912955, 2.50304161456
11.0983991623, 316.730069859, -15.9991035
5.9009809494, 104.611427658, -13.0754212604
12.0934000015, 1288.2035371, -10.2449160773
2.35402584076, 10.6690469152, -23.1825987533
